Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Jordan,6001,3547,703471,1364131,,Jordan,2022,11285.87,"0,591068155307449","0,531726840730932",115,Jordan
Kazakhstan,3878,2597,202163,594515,,Kazakhstan,2022,19621.97,"0,669675090252708","0,197635609472443",118,Kazakhstan
Kenya,5187,3636,1181231,1444295,,Kenya,2022,54027.49,"0,700983227299017","0,096006681043299",119,Kenya
Kiribati,9,7,1236,2605,,Kiribati,2022,131.23,"0,777777777777778","0,068581879143489",122,Kiribati
Kuwait,1946,1116,422856,710481,,Kuwait,2022,4268.87,"0,573484069886948","0,455858341903127",127,Kuwait
Kyrgyzstan,317,209,31129,61502,,Kyrgyz Republic,2022,6803.3,"0,659305993690852","0,046595034762542",120,Kyrgyzstan
Laos,146,114,32405,49675,,Lao PDR,2022,7529.48,"0,780821917808219","0,019390449274054",128,Laos
Latvia,1751,1229,315477,545266,,Latvia,2022,1883.38,"0,701884637350086","0,929711476175812",138,Latvia
Lebanon,3436,1826,1002314,1357307,,Lebanon,2022,5489.74,"0,531431897555297","0,625894851122275",129,Lebanon
Lesotho,140,104,13272,21924,,Lesotho,2022,2305.82,"0,742857142857143","0,06071592752253",135,Lesotho
Liberia,115,89,22958,23987,,Liberia,2022,5302.68,"0,773913043478261","0,021687146876674",130,Liberia
Libya,567,366,67323,13719,,Libya,2022,6812.34,"0,645502645502645","0,083231312588626",131,Libya
Liechtenstein,77,52,3514,42303,,Liechtenstein,2022,39.33,"0,675324675324675","1,95779303330791",133,Liechtenstein
Lithuania,3309,2419,680719,1271912,,Lithuania,2022,2833,"0,731036566938652","1,16801976703142",136,Lithuania
Luxembourg,1554,952,527955,795709,,Luxembourg,2022,650.77,"0,612612612612613","2,38794043978671",137,Luxembourg
Macedonia,876,502,135775,256026,,North Macedonia,2022,2057.68,"0,573059360730594","0,425722172543836",,
Madagascar,378,274,91107,145348,,Madagascar,2022,29611.71,"0,724867724867725","0,012765220245639",143,Madagascar
